census_year,clue_small_area,anzsic_industry,business_size,total_establishments,total_jobs,jobs_suppressed
2006,Melbourne (CBD),"Transport, Postal and Warehousing",Medium business,27,1819,FALSE
2006,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,67,469,FALSE
2006,Melbourne (CBD),Wholesale Trade,Medium business,8,345,FALSE
2006,Melbourne (CBD),Wholesale Trade,Small business,126,525,FALSE
2007,Melbourne (CBD),Accommodation and Food Services,Medium business,186,8191,FALSE
2007,Melbourne (CBD),Accommodation and Food Services,Small business,1095,7749,FALSE
2007,Melbourne (CBD),Administrative and Support Services,Medium business,84,3882,FALSE
2007,Melbourne (CBD),Administrative and Support Services,Small business,444,2537,FALSE
2007,Melbourne (CBD),"Agriculture, Forestry and Fishing",Medium business,1,NA,TRUE
2007,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,6,33,FALSE
2007,Melbourne (CBD),Arts and Recreation Services,Medium business,18,1141,FALSE
2007,Melbourne (CBD),Arts and Recreation Services,Small business,98,476,FALSE
2007,Melbourne (CBD),Construction,Medium business,10,518,FALSE
2007,Melbourne (CBD),Construction,Small business,61,422,FALSE
2007,Melbourne (CBD),Education and Training,Medium business,68,3828,FALSE
2007,Melbourne (CBD),Education and Training,Small business,162,1120,FALSE
2007,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,8,647,FALSE
2007,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,8,77,FALSE
2007,Melbourne (CBD),Financial and Insurance Services,Medium business,142,7649,FALSE
2007,Melbourne (CBD),Financial and Insurance Services,Small business,495,3391,FALSE
2007,Melbourne (CBD),Health Care and Social Assistance,Medium business,25,890,FALSE
2007,Melbourne (CBD),Health Care and Social Assistance,Small business,335,1655,FALSE
2007,Melbourne (CBD),Information Media and Telecommunications,Medium business,53,3401,FALSE
2007,Melbourne (CBD),Information Media and Telecommunications,Small business,143,959,FALSE
2007,Melbourne (CBD),Manufacturing,Medium business,9,402,FALSE
2007,Melbourne (CBD),Manufacturing,Small business,273,845,FALSE
2007,Melbourne (CBD),Mining,Medium business,6,481,FALSE
2007,Melbourne (CBD),Mining,Small business,34,189,FALSE
2007,Melbourne (CBD),Other Services,Medium business,40,1917,FALSE
2007,Melbourne (CBD),Other Services,Small business,563,2284,FALSE
2007,Melbourne (CBD),"Professional, Scientific and Technical Services",Medium business,256,13613,FALSE
2007,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1376,8146,FALSE
2007,Melbourne (CBD),Public Administration and Safety,Medium business,77,5499,FALSE
2007,Melbourne (CBD),Public Administration and Safety,Small business,71,498,FALSE
2007,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,28,1234,FALSE
2007,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Small business,141,775,FALSE
2007,Melbourne (CBD),Retail Trade,Medium business,63,2906,FALSE
2007,Melbourne (CBD),Retail Trade,Small business,1535,7554,FALSE
2007,Melbourne (CBD),"Transport, Postal and Warehousing",Medium business,26,1738,FALSE
2007,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,69,496,FALSE
2007,Melbourne (CBD),Wholesale Trade,Medium business,9,354,FALSE
2007,Melbourne (CBD),Wholesale Trade,Small business,122,501,FALSE
2008,Melbourne (CBD),Accommodation and Food Services,Medium business,197,8271,FALSE
2008,Melbourne (CBD),Accommodation and Food Services,Small business,1141,8116,FALSE
2008,Melbourne (CBD),Administrative and Support Services,Medium business,85,3784,FALSE
2008,Melbourne (CBD),Administrative and Support Services,Small business,460,2702,FALSE
2008,Melbourne (CBD),"Agriculture, Forestry and Fishing",Medium business,2,NA,TRUE
2008,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,6,19,FALSE
2008,Melbourne (CBD),Arts and Recreation Services,Medium business,21,1269,FALSE
2008,Melbourne (CBD),Arts and Recreation Services,Small business,105,521,FALSE
2008,Melbourne (CBD),Construction,Medium business,14,705,FALSE
2008,Melbourne (CBD),Construction,Small business,63,387,FALSE
2008,Melbourne (CBD),Education and Training,Medium business,87,5515,FALSE
2008,Melbourne (CBD),Education and Training,Small business,208,1506,FALSE
2008,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,7,535,FALSE
2008,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,8,60,FALSE
2008,Melbourne (CBD),Financial and Insurance Services,Medium business,159,9125,FALSE
2008,Melbourne (CBD),Financial and Insurance Services,Small business,545,3501,FALSE
2008,Melbourne (CBD),Health Care and Social Assistance,Medium business,28,1154,FALSE
2008,Melbourne (CBD),Health Care and Social Assistance,Small business,353,1732,FALSE
2008,Melbourne (CBD),Information Media and Telecommunications,Medium business,46,2833,FALSE
2008,Melbourne (CBD),Information Media and Telecommunications,Small business,147,1005,FALSE
2008,Melbourne (CBD),Manufacturing,Medium business,8,391,FALSE
2008,Melbourne (CBD),Manufacturing,Small business,276,824,FALSE
2008,Melbourne (CBD),Mining,Medium business,6,492,FALSE
2008,Melbourne (CBD),Mining,Small business,38,254,FALSE
2008,Melbourne (CBD),Other Services,Medium business,39,2162,FALSE
2008,Melbourne (CBD),Other Services,Small business,603,2503,FALSE
2008,Melbourne (CBD),"Professional, Scientific and Technical Services",Medium business,281,14219,FALSE
2008,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1485,8373,FALSE
2008,Melbourne (CBD),Public Administration and Safety,Medium business,87,6470,FALSE
2008,Melbourne (CBD),Public Administration and Safety,Small business,75,545,FALSE
2008,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,30,1377,FALSE
2008,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Small business,157,864,FALSE
2008,Melbourne (CBD),Retail Trade,Medium business,64,2909,FALSE
2008,Melbourne (CBD),Retail Trade,Small business,1521,7446,FALSE
2008,Melbourne (CBD),"Transport, Postal and Warehousing",Medium business,25,1532,FALSE
2008,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,65,462,FALSE
2008,Melbourne (CBD),Wholesale Trade,Medium business,10,275,FALSE
2008,Melbourne (CBD),Wholesale Trade,Small business,109,453,FALSE
2009,Melbourne (CBD),Accommodation and Food Services,Medium business,197,8267,FALSE
2009,Melbourne (CBD),Accommodation and Food Services,Small business,1184,8813,FALSE
2009,Melbourne (CBD),Administrative and Support Services,Medium business,85,3712,FALSE
2009,Melbourne (CBD),Administrative and Support Services,Small business,455,2711,FALSE
2009,Melbourne (CBD),"Agriculture, Forestry and Fishing",Medium business,2,NA,TRUE
2009,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,5,19,FALSE
2009,Melbourne (CBD),Arts and Recreation Services,Medium business,25,1738,FALSE
2009,Melbourne (CBD),Arts and Recreation Services,Small business,129,588,FALSE
2009,Melbourne (CBD),Construction,Medium business,17,867,FALSE
2009,Melbourne (CBD),Construction,Small business,61,378,FALSE
2009,Melbourne (CBD),Education and Training,Medium business,89,5590,FALSE
2009,Melbourne (CBD),Education and Training,Small business,204,1394,FALSE
2009,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,7,527,FALSE
2009,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,12,96,FALSE
2009,Melbourne (CBD),Financial and Insurance Services,Medium business,156,9067,FALSE
2009,Melbourne (CBD),Financial and Insurance Services,Small business,539,3501,FALSE
2009,Melbourne (CBD),Health Care and Social Assistance,Medium business,31,1215,FALSE
2009,Melbourne (CBD),Health Care and Social Assistance,Small business,357,1771,FALSE
2009,Melbourne (CBD),Information Media and Telecommunications,Medium business,39,2475,FALSE
2009,Melbourne (CBD),Information Media and Telecommunications,Small business,144,993,FALSE
2009,Melbourne (CBD),Manufacturing,Medium business,5,320,FALSE
2009,Melbourne (CBD),Manufacturing,Small business,279,864,FALSE
2009,Melbourne (CBD),Mining,Medium business,6,492,FALSE
2009,Melbourne (CBD),Mining,Small business,41,266,FALSE
2009,Melbourne (CBD),Other Services,Medium business,39,2193,FALSE
2009,Melbourne (CBD),Other Services,Small business,658,2748,FALSE
2009,Melbourne (CBD),"Professional, Scientific and Technical Services",Medium business,290,14608,FALSE
2009,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1469,8303,FALSE
2009,Melbourne (CBD),Public Administration and Safety,Medium business,82,6179,FALSE
2009,Melbourne (CBD),Public Administration and Safety,Small business,68,504,FALSE
2009,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,31,1450,FALSE
2009,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Small business,158,882,FALSE
2009,Melbourne (CBD),Retail Trade,Medium business,69,2984,FALSE
2009,Melbourne (CBD),Retail Trade,Small business,1505,7361,FALSE
2009,Melbourne (CBD),"Transport, Postal and Warehousing",Medium business,23,1542,FALSE
2009,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,63,441,FALSE
2009,Melbourne (CBD),Wholesale Trade,Medium business,10,273,FALSE
2009,Melbourne (CBD),Wholesale Trade,Small business,109,477,FALSE
2010,Melbourne (CBD),Accommodation and Food Services,Medium business,201,8401,FALSE
2010,Melbourne (CBD),Accommodation and Food Services,Small business,1237,9232,FALSE
2010,Melbourne (CBD),Administrative and Support Services,Medium business,88,4110,FALSE
2010,Melbourne (CBD),Administrative and Support Services,Small business,429,2488,FALSE
2010,Melbourne (CBD),"Agriculture, Forestry and Fishing",Medium business,1,NA,TRUE
2010,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,3,17,FALSE
2010,Melbourne (CBD),Arts and Recreation Services,Medium business,24,1457,FALSE
2010,Melbourne (CBD),Arts and Recreation Services,Small business,131,605,FALSE
2010,Melbourne (CBD),Construction,Medium business,15,769,FALSE
2010,Melbourne (CBD),Construction,Small business,61,414,FALSE
2010,Melbourne (CBD),Education and Training,Medium business,95,5898,FALSE
2010,Melbourne (CBD),Education and Training,Small business,193,1304,FALSE
2010,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,10,757,FALSE
2010,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,11,106,FALSE
2010,Melbourne (CBD),Financial and Insurance Services,Medium business,151,9267,FALSE
